(('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	6	0.5
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	6	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	tia	18	0.1111111111111111
(('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	a	2	1.0
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	3	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	6	0.16666666666666666
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	3	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	6	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	3	0.6666666666666666
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	a	2	0.5
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	hia	11	0.09090909090909091
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'))	a	3	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	3	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	6	0.16666666666666666
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	6	0.6666666666666666
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	10	0.7
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	7	0.14285714285714285
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	ria	3	0.3333333333333333
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	a	5	0.2
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	10	0.2
(('low', 'back', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	3	1.0
