kōpiro	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
kōranga	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, velar, nasal, stop']
kōrero	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, dental-alveolar, oral, flap']
koro	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
kōrori	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, dental-alveolar, oral, flap']
korou	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
kote	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
kōti	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
kōtui	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
kowhaki	['voiceless, velar, oral, stop', 'voiceless, labio-dental, oral, fricative', 'voiceless, velar, oral, stop']
kowhete	['voiceless, velar, oral, stop', 'voiceless, labio-dental, oral, fricative', 'voiceless, dental, oral, stop']
kōwhiri	['voiceless, velar, oral, stop', 'voiceless, labio-dental, oral, fricative', 'voiced, dental-alveolar, oral, flap']
kōwhiti	['voiceless, velar, oral, stop', 'voiceless, labio-dental, oral, fricative', 'voiceless, dental, oral, stop']
kuhu	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kuku	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop']
kume	['voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop']
kumu	['voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop']
kuru	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
kuti	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
mahanga	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative', 'voiced, velar, nasal, stop']
mahara	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
māharahara	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
mahi	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative']
mahimahi	['voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative', 'voiced, bilabial, nasal, stop', 'voiceless, glottal, oral, fricative']
maka	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop']
mākiri	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
mākutu	['voiced, bilabial, nasal, stop', 'voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
maminga	['voiced, bilabial, nasal, stop', 'voiced, bilabial, nasal, stop', 'voiced, velar, nasal, stop']
manaaki	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
manako	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop', 'voiceless, velar, oral, stop']
mania	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop']
mapu	['voiced, bilabial, nasal, stop', 'voiceless, bilabial, oral, stop']
mārau	['voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap']
mārena	['voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, dental, nasal, stop']
maro	['voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap']
mātaki	['voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop', 'voiceless, velar, oral, stop']
